Asset Type,Asset,Engaged People,Engaged Accounts,BDR Booked Meeting (MQL),High Value Inquiry,Qualified Inquiry,SAL $,SALQ $,Closed Won $
p_a8e5fab6b1,p_74f11cc3ba,1,1,0,0,0,0,0,0
p_9ee8c7bb3f,p_ef7826a50d,454,246,0,0.18,0.77,20276.67,20769.71,12931.23
p_fa15783640,p_64909a394e,15,11,0,0,0.25,4431.04,4211.84,2162.63
p_337a2ae173,p_54c1143f63,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_40237ffcd4,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_297502999f,1,0,0,0,0,0,0,0
p_35d5f6446d,p_2f652eceb1,1,1,0,0,0,0,0,0
p_463a8a7b6f,p_ff7ce1dce0,1,0,0,0,0,0,0,0
p_fa15783640,p_9ef21d0404,10,5,0,0,0,1904.01,1828.93,912.65
p_463a8a7b6f,p_3626ec7524,11,8,0,0,0.03,1291.23,1291.23,958.44
p_9ee8c7bb3f,p_1ad71a834f,1,0,0,0,0,0,0,0
p_fedadf1682,p_992c46a5c7,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_94e15255f1,1,1,0,0,0,0,0,0
p_9ee8c7bb3f,p_ef55c276b7,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_0f2a345238,1096,624,0.5,2.21,3.02,107683.97,124962.4,29418.54
p_463a8a7b6f,p_4307f29455,1,0,0,0,0,0,0,0
p_fa15783640,p_b23ad108c1,1,1,0,0.02,0.01,3976.14,3891.4,350.2
p_463a8a7b6f,p_5ab29107c0,3,3,0,0,0,0,0.01,0.01
p_9ee8c7bb3f,p_3325a65e0a,1,1,0,0,0,0,0,0
p_444b282eb9,p_32c91f1cbb,1,0,0,0,0,0,0,0
p_35d5f6446d,p_64985ae44a,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_18c049b2bb,1,1,0,0,0.02,37.17,37.17,0
p_9ee8c7bb3f,p_747d26b6d7,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_feab53aee6,5,2,0,0,0.01,0,0.01,0.02
p_444b282eb9,p_4916b59ace,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_fdc80ea350,1,1,0,0,0,0,0,0
p_463a8a7b6f,p_92ef4e20f9,1,1,0,0,0,0,0,0
p_35d5f6446d,p_a5205e607e,13,5,0,0,0,0,182.46,0.01
p_5ea52c2bb2,p_5ad1a1fb3e,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_a78bdf34ba,11,6,0,0.07,0.15,0,0,0
p_5ea52c2bb2,p_a1cfd38bd7,1,1,0,0,0,0,0,88.43
p_9ee8c7bb3f,p_04fbbd1de2,4,2,0,0,0,0,0,0
p_463a8a7b6f,p_21c42cfa3d,1,1,0,0,0,0,0,0
p_fedadf1682,p_cea29bef55,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_6c77c86bfe,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_b8f93703f5,1,0,0,0,0,0,0,0
p_fceac992e7,p_4b8b29689d,42432,16529,94.1,392.54,425.65,4465210.71,4798933.82,789267.55
p_35d5f6446d,p_6a073a2116,2,0,0,0,0,0,0,0
p_fedadf1682,p_6e66f8f6d0,1,0,0,0,0,0,0,0
p_fa15783640,p_364a299d8b,1,1,0,0,0,0,0,0
p_463a8a7b6f,p_8cebe2e039,41,24,0.03,0.08,0.02,758.44,757.49,63.12
p_fedadf1682,p_572ba499cb,1,0,0,0,0,0,0,0
p_96fe923d5b,p_50a5922ce3,12,3,0,0,0,0,0.01,0.01
p_463a8a7b6f,p_5ea4af9e53,10,9,0,0,0.01,0,0.08,18.06
p_54a6a1c242,p_c9e5818b57,1,1,0,0,0,0,0,17.81
p_9ee8c7bb3f,p_e173b815af,1,1,0,0,0,0,0,0
p_5ea52c2bb2,p_6b379430a7,5,2,0,0,0,0,0.01,10.63
p_9ee8c7bb3f,p_efa077ae72,1,0,0,0,0,0,0,0
p_fa15783640,p_c02d2d26f4,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_354762a694,1,0,0,0,0,0,0,0
p_fa15783640,p_d36b678375,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_8486ec34da,1,1,0,0,0,0,0,0
p_fa15783640,p_7077512d52,1,0,0,0,0,0,0,0
p_fa15783640,p_c6db74db89,1,1,0,0,0,0,0,0
p_a8e5fab6b1,p_2de4640c3f,1,0,0,0,0,0,0,0
p_18df50f95b,p_b5d0144003,7,4,0,0,0,0,0.01,0.29
p_9ee8c7bb3f,p_318f7e89f8,1,0,0,0,0,0,0,0
p_fa15783640,p_002cc1341b,1,0,0,0,0,0,0,0
p_54a6a1c242,p_8d2aeb6539,4,2,0,0,0,0,320.48,0
p_463a8a7b6f,p_b721b2d4cd,11,5,0,0,0,0,0,0
p_9ee8c7bb3f,p_98ed8ce9d3,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_6d714cf331,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_ffbd8cc1bc,1,0,0,0,0,0,0.01,0.01
p_9ee8c7bb3f,p_65dd721328,12,5,0,0,0,3069.05,2055.61,3.01
p_fa15783640,p_4d71c13c6b,4,4,0.4,1.4,0.06,60.29,58.85,0.06
p_337a2ae173,p_d6684bf45a,3,0,0,0,0,0,0,0
p_fedadf1682,p_134869969b,1,0,0,0,0,0,0,0
p_444b282eb9,p_4b379916aa,2,1,0,0.02,0,0,42,0
p_fa15783640,p_784c5aaab5,1,1,0,0,0,0,0,0
p_35d5f6446d,p_a874bce52c,3,2,0,0,0,0,0,0
p_a8e5fab6b1,p_ed5608e84e,2,0,0,0,0,0,0,0
p_35d5f6446d,p_893096e278,2,0,0,0,0,0,0,0
p_fedadf1682,p_4d4e3e2e7b,1,0,0,0,0,0,0,0
p_35d5f6446d,p_3cc08ee06d,6,6,0,0,0,2087.34,2087.34,56.76
p_9ee8c7bb3f,p_ebc42ed9a0,5,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_7981f3f4c3,2,1,0,0,0,7.29,7.28,0
p_fa15783640,p_14fd39c274,159,90,0,0,0.15,14800.34,14774.96,7424.3
p_fa15783640,p_822b948dea,1,1,0,0,0,0,0,0
p_463a8a7b6f,p_5824142643,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_3a4829a1fa,18,9,0,0,0,0,0,0
p_18df50f95b,p_e7b8c3d291,1,0,0,0,0,0,0,0
p_fedadf1682,p_46d30789ba,1,0,0,0,0,0,0,0
p_54a6a1c242,p_6d14df6495,78,44,0,0.03,0.04,1129.68,1411.05,774.9
p_337a2ae173,p_e6255994d4,1,0,0,0,0,0,0,0
p_18df50f95b,p_3f15ea8087,2,0,0,0,0,0,0,0
p_54a6a1c242,p_88604df750,31,14,0,0,0.06,701.6,1419.84,7.26
p_892bde13bc,p_eb5d38c20a,2,2,0,0,0,0,0,0
p_463a8a7b6f,p_b2ec95568d,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_516ac07882,1,1,0,0,0,0,0,0
p_9ee8c7bb3f,p_577e830b4c,2,1,0,0,0,0,0,0
p_337a2ae173,p_3af6599ade,14,4,0,0,0,0,0,0
p_9ee8c7bb3f,p_b88312f0d1,187,80,0.07,0.15,0.6,691.4,1961.81,1411.87
p_9ee8c7bb3f,p_db833f78b2,3,1,0,0,0,0,0.01,0.01
p_5ea52c2bb2,p_8145744e1b,7,3,0,0,0,0,0,0
p_35d5f6446d,p_f081e3a88e,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_85db3ebdfb,18,14,0,0,0,5432.3,5432.33,111.73
p_5ea52c2bb2,p_f177be5f3b,9,2,0,0,0,0,0.01,0.01
p_9ee8c7bb3f,p_97fe9a3b2b,9,3,0,0,0,0,0,0
p_444b282eb9,p_9e5c0d013c,2,0,0,0.53,0.53,0,0,0
p_5ea52c2bb2,p_886da1870a,1,0,0,0,0,0,0,0
p_fedadf1682,p_836dacb9fd,1,0,0,0,0,0,0,0
p_fedadf1682,p_cb65909b7f,4,1,0,0,0,0,0,0
p_463a8a7b6f,p_22be8fdc43,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_d02e428fb7,1,0,0,0,0,0,0,0
p_444b282eb9,p_5016b2ad14,2,1,0,0,0,0,0,0
p_fa15783640,p_99f556ebc1,2,1,0,0,0,0,0,0
p_35d5f6446d,p_c07769b182,1,1,0,0,0,0,0,0
p_463a8a7b6f,p_85c55a4abf,5,2,0,0,0,0,0,0
p_fa15783640,p_b72611f0fa,1,1,0,0,0,0,0,0
p_5ea52c2bb2,p_2f372624d2,1,1,0,0,0,0,0.01,0.02
p_463a8a7b6f,p_1a8d5e7070,15,9,0,0,0,73.32,72.61,17.81
p_9ee8c7bb3f,p_07ec546941,2,0,0,0,0,0,0,0
p_a8e5fab6b1,p_01223e80ba,1,0,0,0,0,0,0,0
p_444b282eb9,p_b5cce0d5cd,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_a2f749a194,143,96,0.03,0.1,0.14,444.03,443.42,490.13
p_9ee8c7bb3f,p_1068c9e262,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_b22255a78f,24,15,0,0.13,0.13,139.06,139.06,12.77
p_9ee8c7bb3f,p_544c001d78,2,1,0,0,0,0,0,0
p_892bde13bc,p_0db7e7773d,1,1,0,0,0,0,0,0
p_fa15783640,p_6d0ea681ae,1,1,0,0,0,0,0,0
p_35d5f6446d,p_5e626fb9d1,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_a2f6bbbfda,2,0,0,0,0,60.3,59.61,0.02
p_9ee8c7bb3f,p_aca2b0d69c,3,0,0,0,0,0,0,0
p_fedadf1682,p_a26bce2ff8,1,0,0,0,0,0,0,0
p_fa15783640,p_1ae944eb78,1,1,0,0,0,1380.47,1303.06,0
p_463a8a7b6f,p_774a92d273,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_bb964dc0b4,30,14,0,0.02,0.02,881.61,881.61,282.57
p_463a8a7b6f,p_2d97415688,2,0,0,0,0,0,0,0
p_fa15783640,p_7316108cee,2,2,0,0,0,0,0,0
p_463a8a7b6f,p_e8f372e705,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_497b2027c8,2,0,0,0,0,0,0,0
p_fa15783640,p_293faa1b6b,1,0,0,0,0,0,0,0
p_fa15783640,p_374cc7d9a8,3,0,0,0,0,0,0.12,0.22
p_a8e5fab6b1,p_5a3f4545cc,1,0,0,0,0,0,0,0
p_fa15783640,p_68c38f9532,236,152,0,0.22,0.29,13846.97,20165.37,5938.14
